Series,NSW Adult Full-Time Ordinary Earnings,VIC Adult Full-Time Ordinary Earnings
Units,$/wk,$/wk
Adjustment,Original,Original
Source,ABS 6302.T13A,ABS 6302.T13B
URL,http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/6302.0May%202015?OpenDocument,http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/6302.0May%202015?OpenDocument
ABS Code,A84992594X,A85006427A
date,NSWwage,VICwage
1994-11-15,653.80,628.00
1995-05-15,675.50,644.10
1995-11-15,690.90,654.80
1996-05-15,705.40,667.50
1996-11-15,715.80,681.20
1997-05-15,722.60,693.10
1997-11-15,737.70,706.50
1998-05-15,746.30,723.10
1998-11-15,769.90,734.50
1999-05-15,788.80,737.80
1999-11-15,803.60,746.60
2000-05-15,821.40,761.30
2000-11-15,842.00,771.00
2001-05-15,869.20,793.50
2001-11-15,898.80,822.70
2002-05-15,905.90,866.80
2002-11-15,935.90,882.80
2003-05-15,961.40,918.60
2003-11-15,973.80,936.00
2004-05-15,986.40,940.20
2004-11-15,1002.80,983.00
2005-05-15,1044.30,978.30
2005-11-15,1069.20,998.90
2006-05-15,1070.10,1016.80
2006-11-15,1084.00,1022.30
2007-05-15,1120.10,1057.50
2007-11-15,1136.90,1070.20
2008-05-15,1136.50,1103.20
2008-11-15,1176.20,1129.00
2009-05-15,1206.50,1165.90
2009-11-15,1246.80,1185.10
2010-05-15,1268.30,1224.90
2010-11-15,1281.40,1238.20
2011-05-15,1322.20,1255.60
2011-11-15,1322.30,1291.90
2012-05-15,1355.20,1297.60
2012-11-15,1398.90,1331.00
2013-05-15,1407.80,1338.50
2013-11-15,1421.10,1389.10
2014-05-15,1459.00,1380.10
2014-11-15,1492.30,1396.60
2015-05-15,1512.10,1396.60
